Method,Test Size,MAE,,,,MAEt,,,,MAEu,,,,MAEe,,,,MAEi,,,,MAEk
Kriging,0.2,3.969948988,,,,,,,,,,,,,,,,,,,,
Ensemble,0.2,1.392608977,,,,,,,,,,,,,,,,,,,,
U-Net,0.2,64.33379622,,,,,,,,,,,,,,,,,,,,
Transformer,0.2,1.870795807,,,,,,,,,,,,,,,,,,,,
IDW,0.3,1.341925907,,,,,,,,,,,,,,,,,,,,
Kriging,0.3,3.715414982,,,,,,,,,,,,,,,,,,,,
Ensemble,0.3,1.407723075,,,,,,,,,,,,,,,,,,,,
U-Net,0.3,64.91987205,,,,,,,,,,,,,,,,,,,,
Transformer,0.3,1.762229817,,,,,,,,,,,,,,,,,,,,
IDW,0.4,1.022126571,,,,,,,,,,,,,,,,,,,,
Kriging,0.4,3.734876163,,,,,,,,,,,,,,,,,,,,
Ensemble,0.4,1.55986112,,,,,,,,,,,,,,,,,,,,
U-Net,0.4,64.70183117,,,,,,,,,,,,,,,,,,,,
Transformer,0.4,2.031390122,,,,,,,,,,,,,,,,,,,,
IDW,0.5,1.38184411,,,,,,,,,,,,,,,,,,,,
Kriging,0.5,3.904195591,,,,,,,,,,,,,,,,,,,,
Ensemble,0.5,1.601438417,,,,,,,,,,,,,,,,,,,,
U-Net,0.5,65.20795636,,,,,,,,,,,,,,,,,,,,
Transformer,0.5,1.627226924,,,,,,,,,,,,,,,,,,,,
IDW,0.1,0.855623595,,,,,,,,,,,,,,,,,,,,
Kriging,0.1,3.174837061,,,,,,,,,,,,,,,,,,,,
Ensemble,0.1,1.502183449,,,,,,,,,,,,,,,,,,,,
U-Net,0.1,61.50500095,,,,,,,,,,,,,,,,,,,,
Transformer,0.1,1.238227152,,,,,,,,,,,,,,,,,,,,
IDW,0.2,0.995788163,,,,,,,,,,,,,,,,,,,,
Kriging,0.2,3.693949997,,,,,,,,,,,,,,,,,,,,
Ensemble,0.2,1.377420331,,,,,,,,,,,,,,,,,,,,
U-Net,0.2,64.66244877,,,,,,,,,,,,,,,,,,,,
Transformer,0.2,1.578279121,,,,,,,,,,,,,,,,,,,,
IDW,0.3,0.960551466,,,,,,,,,,,,,,,,,,,,
Kriging,0.3,2.707830509,,,,,,,,,,,,,,,,,,,,
Ensemble,0.3,1.369712149,,,,,,,,,,,,,,,,,,,,
U-Net,0.3,64.29540762,,,,,,,,,,,,,,,,,,,,
Transformer,0.3,1.399564765,,,,,,,,,,,,,,,,,,,,
IDW,0.4,1.250318817,,,,,,,,,,,,,,,,,,,,
Kriging,0.4,2.490780553,,,,,,,,,,,,,,,,,,,,
Ensemble,0.4,1.737455314,,,,,,,,,,,,,,,,,,,,
U-Net,0.4,64.4637904,,,,,,,,,,,,,,,,,,,,
Transformer,0.4,1.500141825,,,,,,,,,,,,,,,,,,,,
IDW,0.5,1.231960262,,,,,,,,,,,,,,,,,,,,
Kriging,0.5,3.996363215,,,,,,,,,,,,,,,,,,,,
Ensemble,0.5,1.720709911,,,,,,,,,,,,,,,,,,,,
U-Net,0.5,63.68355157,,,,,,,,,,,,,,,,,,,,
Transformer,0.5,2.050511317,,,,,,,,,,,,,,,,,,,,
IDW,0.1,0.934129278,,,,,,,,,,,,,,,,,,,,
Kriging,0.1,3.408146455,,,,,,,,,,,,,,,,,,,,
Ensemble,0.1,1.194859222,,,,,,,,,,,,,,,,,,,,
U-Net,0.1,65.52939458,,,,,,,,,,,,,,,,,,,,
Transformer,0.1,1.933268513,,,,,,,,,,,,,,,,,,,,
IDW,0.2,0.879717094,,,,,,,,,,,,,,,,,,,,
Kriging,0.2,3.333758165,,,,,,,,,,,,,,,,,,,,
Ensemble,0.2,1.1791448,,,,,,,,,,,,,,,,,,,,
U-Net,0.2,63.54124003,,,,,,,,,,,,,,,,,,,,
Transformer,0.2,1.348576199,,,,,,,,,,,,,,,,,,,,
IDW,0.3,1.219717751,,,,,,,,,,,,,,,,,,,,
Kriging,0.3,3.151602874,,,,,,,,,,,,,,,,,,,,
Ensemble,0.3,1.449134277,,,,,,,,,,,,,,,,,,,,
U-Net,0.3,65.63549104,,,,,,,,,,,,,,,,,,,,
Transformer,0.3,1.893802234,,,,,,,,,,,,,,,,,,,,
IDW,0.4,1.205173763,,,,,,,,,,,,,,,,,,,,
Kriging,0.4,3.145537708,,,,,,,,,,,,,,,,,,,,
Ensemble,0.4,1.405980279,,,,,,,,,,,,,,,,,,,,
U-Net,0.4,65.02387462,,,,,,,,,,,,,,,,,,,,
